Sr.No,State,Year,Month,Value
160,TELANGANA,1914,APR,34.1
161,TELANGANA,1914,MAY,41.5
162,TELANGANA,1914,JUN,233.1
163,TELANGANA,1914,JUL,271.3
164,TELANGANA,1914,AUG,195.1
165,TELANGANA,1914,SEP,278.6
166,TELANGANA,1914,OCT,16.2
167,TELANGANA,1914,NOV,10.3
168,TELANGANA,1914,DEC,2.0
169,TELANGANA,1915,JAN,15.4
170,TELANGANA,1915,FEB,8.6
171,TELANGANA,1915,MAR,77.8
172,TELANGANA,1915,APR,18.8
173,TELANGANA,1915,MAY,26.7
174,TELANGANA,1915,JUN,165.6
175,TELANGANA,1915,JUL,140.4
176,TELANGANA,1915,AUG,236.2
177,TELANGANA,1915,SEP,186.8
178,TELANGANA,1915,OCT,122.0
179,TELANGANA,1915,NOV,23.6
180,TELANGANA,1915,DEC,0.1
181,TELANGANA,1916,JAN,0.0
182,TELANGANA,1916,FEB,4.1
183,TELANGANA,1916,MAR,0.0
184,TELANGANA,1916,APR,15.9
185,TELANGANA,1916,MAY,16.1
186,TELANGANA,1916,JUN,233.2
187,TELANGANA,1916,JUL,216.4
188,TELANGANA,1916,AUG,137.0
189,TELANGANA,1916,SEP,291.8
190,TELANGANA,1916,OCT,153.1
191,TELANGANA,1916,NOV,95.1
192,TELANGANA,1916,DEC,0.0
193,TELANGANA,1917,JAN,0.0
194,TELANGANA,1917,FEB,65.5
195,TELANGANA,1917,MAR,33.0
196,TELANGANA,1917,APR,34.1
197,TELANGANA,1917,MAY,52.7
198,TELANGANA,1917,JUN,184.1
199,TELANGANA,1917,JUL,267.5
200,TELANGANA,1917,AUG,180.1
201,TELANGANA,1917,SEP,275.6
202,TELANGANA,1917,OCT,106.7
203,TELANGANA,1917,NOV,6.6
204,TELANGANA,1917,DEC,0.0
205,TELANGANA,1918,JAN,20.2
206,TELANGANA,1918,FEB,0.0
207,TELANGANA,1918,MAR,32.6
208,TELANGANA,1918,APR,8.3
209,TELANGANA,1918,MAY,55.5
210,TELANGANA,1918,JUN,97.8
211,TELANGANA,1918,JUL,106.1
212,TELANGANA,1918,AUG,89.6
213,TELANGANA,1918,SEP,96.9
214,TELANGANA,1918,OCT,6.4
215,TELANGANA,1918,NOV,7.5
216,TELANGANA,1918,DEC,33.9
217,TELANGANA,1919,JAN,5.5
218,TELANGANA,1919,FEB,39.2
219,TELANGANA,1919,MAR,31.3
220,TELANGANA,1919,APR,35.0
221,TELANGANA,1919,MAY,23.6
222,TELANGANA,1919,JUN,158.8
223,TELANGANA,1919,JUL,139.4
224,TELANGANA,1919,AUG,115.3
225,TELANGANA,1919,SEP,129.9
226,TELANGANA,1919,OCT,130.6
227,TELANGANA,1919,NOV,78.5
228,TELANGANA,1919,DEC,7.4
229,TELANGANA,1920,JAN,7.4
230,TELANGANA,1920,FEB,0.0
231,TELANGANA,1920,MAR,1.7
232,TELANGANA,1920,APR,24.4
233,TELANGANA,1920,MAY,31.4
234,TELANGANA,1920,JUN,62.8
235,TELANGANA,1920,JUL,138.8
236,TELANGANA,1920,AUG,66.5
237,TELANGANA,1920,SEP,78.9
238,TELANGANA,1920,OCT,24.9
239,TELANGANA,1920,NOV,0.0
240,TELANGANA,1920,DEC,0.0
241,TELANGANA,1921,JAN,7.1
242,TELANGANA,1921,FEB,0.0
243,TELANGANA,1921,MAR,0.1
244,TELANGANA,1921,APR,5.4
245,TELANGANA,1921,MAY,5.5
246,TELANGANA,1921,JUN,200.9
247,TELANGANA,1921,JUL,296.7
248,TELANGANA,1921,AUG,161.1
249,TELANGANA,1921,SEP,240.7
250,TELANGANA,1921,OCT,68.0
251,TELANGANA,1921,NOV,17.9
252,TELANGANA,1921,DEC,0.0
253,TELANGANA,1922,JAN,55.3
254,TELANGANA,1922,FEB,0.0
255,TELANGANA,1922,MAR,0.0
256,TELANGANA,1922,APR,6.6
257,TELANGANA,1922,MAY,50.1
258,TELANGANA,1922,JUN,69.2
259,TELANGANA,1922,JUL,184.3
260,TELANGANA,1922,AUG,158.3
261,TELANGANA,1922,SEP,170.2
262,TELANGANA,1922,OCT,23.0
263,TELANGANA,1922,NOV,50.7
264,TELANGANA,1922,DEC,0.0
265,TELANGANA,1923,JAN,3.0
